,Title,Location,Security,Garage,Concierge,Price,City,Currency,Nmbr_rooms,Nmbr_pieces,Nmbr_bathrooms,Type,Surface
271,Appartement spacieux à préstigia,Riyad Extension ,0,0,0,4500000.0,Rabat,DH,4,6,3,Bon état,226
273,"Appartement de 134m² avec terrasse en vente, Résidence Aicha",Kébibat ,0,0,0,,Rabat,,3,4,2,Bon état,134
275,Un Bel Appartement à vendre sur Hay Riad,Riyad ,0,0,0,2600000.0,Rabat,DH,2,3,2,Bon état,125
276,Appartement Meublé à vendre sur Hay Riad,Riyad ,0,0,0,3850000.0,Rabat,DH,1,2,2,Bon état,136
277,Appartement à vendre,Agdal ,0,0,0,1600000.0,Rabat,DH,3,4,2,Bon état,97
278,Somptueuse villa à vendre à Souissi. 8 pièces. Jardin et terrasse,Souissi ,0,0,0,12000000.0,Rabat,DH,5,8,5,Bon état,2000
279,Appartement en vente à Souissi. 3 chambres agréables,Souissi ,0,0,0,4600000.0,Rabat,DH,3,5,3,Nouveau,206
280,Maison de haut standing à vendre à Souissi. Surface totale 2000 m². Cuisine entièrement équipée,Souissi ,0,0,0,13500000.0,Rabat,DH,5,9,5,Nouveau,2000
281,Appartement haut standing Prestigia Ryad,Riyad ,0,0,0,3150000.0,Rabat,DH,3,5,2,Bon état,175
282,Appartement en vente à Rabat projet al kora,Hay Al Kora ,0,0,0,540000.0,Rabat,DH,2,2,1,Bon état,60
283,Vente Appartement Rabat Océan,Rabat,0,0,0,1800000.0,Rabat,DH,3,4,2,Bon état,128
284,Vente Appartement Rabat Hay Riad,Riyad ,0,0,0,4300000.0,Rabat,DH,4,6,2,Bon état,259
285,Moderne appartement avec deux chambres sur Agdal,Agdal ,0,0,0,1750000.0,Rabat,DH,2,4,2,Bon état,109
286,Très bel appartement à l'agdal,Agdal ,0,0,0,3000000.0,Rabat,DH,3,5,2,Bon état,200
287,Appartement bien ensoleillée avec balcon,Agdal ,0,0,0,1900000.0,Rabat,DH,4,5,1,Bon état,117
288,Bel appartement neuf à vendre à Hay Riad,Riyad ,0,0,0,3450000.0,Rabat,DH,3,4,2,Nouveau,157
289,Superbe Appartement 3chambres à Prestigia Hay Riad,Riyad ,0,0,0,3300000.0,Rabat,DH,3,4,3,Bon état,157
291,Maison de haut standing à vendreou location à haroura. 4 belles chambres. Meublée,Riyad ,0,0,0,5800000.0,Rabat,DH,4,3,3,Bon état,470
292,Appartement à vendre sur Hassan Rabat,Hassan - Centre Ville ,0,0,0,1440000.0,Rabat,DH,2,3,2,Bon état,96
293,Un joli appartement à vendre sur Agdal,Agdal ,0,0,0,1250000.0,Rabat,DH,2,3,1,Bon état,86
294,Bel Appartement avec deux Terrasse sur Agdal,Agdal ,0,0,0,2000000.0,Rabat,DH,3,4,1,Bon état,123
296,Joli Appartement à vendre,Riyad ,0,0,0,2400000.0,Rabat,DH,2,3,1,Bon état,110
297,Bel appartement au cœur d'Agdal,Agdal ,0,0,0,2200000.0,Rabat,DH,3,4,1,Bon état,144
